Unnamed: 0,qid,timestamp,ramsey_estimate,overrot,axis,T1,T2
,Q2,1731751529.7580836,0.0713016115863709,0.0118322432743676,0.0616885605610901,9.1e-05,1.8e-05
,Q0,1731753002.9091902,0.0031927712286403,-0.0007222624973568,0.0157607830348672,7.1e-05,4e-05
,Q1,1731753166.7504225,0.014098319533069,0.0082073562050333,0.0468076236089421,9.6e-05,4.7e-05
,Q2,1731753330.1195862,0.0265009275690317,0.042577855893392,0.0935603828443032,9.7e-05,2e-05
,Q0,1731754802.244523,0.0049806340085822,0.2949915208773008,0.0122278908604625,8.2e-05,4.3e-05
,Q1,1731754966.1032865,0.0140983691975833,0.0087652687652564,0.0468299821136548,7.3e-05,5.8e-05
,Q2,1731755129.6965787,0.0932345616758922,0.012487143024604,0.0609407364233182,6.9e-05,-0.0001
,Q0,1731758402.847927,0.0096076695061242,0.3017977321007665,0.0124794558811961,9.63e-05,8.5e-05
,Q1,1731758566.74302,0.0142592608213565,0.009579581745936,0.0466978870829467,0.0001,7.1e-05
,Q2,1731758730.120583,0.0260891242825334,0.0129346558207312,0.0623181459970672,0.0001,2.2e-05
,Q0,1731760202.2733214,-0.0011246817800358,-0.0001051972767811,0.0186911722541539,0.000103,7.3e-05
,Q1,1731760366.1371694,0.0138058270909695,0.0093713331411393,0.0467363064388983,9.26e-05,5.8e-05
,Q2,1731760529.729023,0.0235850733304854,0.0146018856944978,0.0600527585808415,0.00012,3e-05
,Q0,1731762002.87542,-0.0027935915229497,-0.0001320684989186,0.0123311455612502,9.78e-05,8.4e-05
,Q1,1731762166.932894,0.0137296070960282,0.0096721956447252,0.0462875606329015,0.000117,8.7e-05
,Q2,1731762330.2795408,0.0220076925042942,0.0089579379411754,0.0589271779930993,0.00011,1.2e-05
,Q0,1731763802.4157965,0.0093975706148832,0.2994785450308788,0.013561669663683,0.0001,8.7e-05
,Q1,1731763966.2730649,0.0135941438890583,0.0101418432267068,0.0462138855222302,0.000108,5.9e-05
,Q2,1731764129.652504,0.021212656072425,0.0093878853296964,0.0945080503405991,9.5e-05,2.4e-05
,Q0,1731765602.769904,0.0094936007745616,0.3007132405448416,0.0110648182167436,7.3e-05,8.4e-05
,Q1,1731765766.621652,0.0137654224819527,0.0101388835682478,0.0464640316404732,0.00011,8.4e-05
,Q2,1731765929.9521863,0.0343067757727091,0.0003114746685277,0.0742107453623579,0.00011,1.8e-05
,Q0,1731767402.026464,0.0028658651547264,0.2871781668632236,0.0118078729544237,0.000117,9.9e-05
,Q1,1731767566.0524714,0.0142282937652051,0.0103987125843507,0.0460168903789832,9.3e-05,8.5e-05
,Q2,1731767729.418152,0.0213533218144625,0.0155392514946921,0.0581952828930236,0.00013,2.2e-05
,Q0,1731769202.719558,0.009802067752247,0.000336008916931,0.0143107579635625,9.27e-05,0.00011
,Q1,1731769366.5403044,0.0139363522094804,0.0106996570103232,0.046081556472536,9.5e-05,5.6e-05
,Q2,1731769529.9038014,0.0205409345213318,0.0125720399629167,0.0572019892546077,0.00011,2.3e-05
,Q0,1731771002.0190115,0.0046590842759783,0.2975318710375803,0.0098285677700716,6.6e-05,8.5e-05
